Target,Cq,SQ
N1,25.14884567,4000
N1,22.69135666,4000
N1,20.40003586,4000
N1,28.58268738,400
N1,26.43780899,400
N1,23.37052155,400
N1,30.47072792,40
N1,28.52375031,40
N1,26.24777794,40
N1,33.32008362,4
N1,30.91205597,4
N1,28.31071663,4
N1,20.69339371,4000
N1,20.54565239,4000
N1,20.52615738,4000
N1,23.72439194,400
N1,23.41796303,400
N1,23.50227547,400
N1,26.64675903,40
N1,26.77043724,40
N1,26.63235092,40
N1,28.8125515,4
N1,28.75642967,4
N1,29.21652222,4
N1,22.04071045,4000
N1,21.80704498,4000
N1,21.78074074,4000
N1,25.23755074,400
N1,25.26296425,400
N1,25.33553696,400
N1,28.2155056,40
N1,28.1606884,40
N1,28.13949966,40
N1,32.62702179,4
N1,32.23759842,4
N1,31.76076126,4
N1,21.52179527,4000
N1,21.66667747,4000
N1,21.45317078,4000
N1,24.47340965,400
N1,24.60307312,400
N1,24.58200073,400
N1,26.34839249,40
N1,26.33102608,40
N1,26.36972618,40
N1,29.73819923,4
N1,28.24193192,4
N1,29.58567619,4
N1,24.80109024,4000
N1,24.78022957,4000
N1,23.92106628,4000
N1,27.54624748,400
N1,27.17456436,400
N1,27.28372002,400
N1,29.42777634,40
N1,28.9093895,40
N1,29.12131882,40
N1,31.6502285,4
N1,31.92184639,4
N1,32.45816803,4
N1,23.87868881,4000
N1,23.840065,4000
N1,24.13171768,4000
N1,26.98830032,400
N1,26.94556999,400
N1,27.18723869,400
N1,28.75113678,40
N1,28.95655441,40
N1,29.86028481,40
N1,34.73876572,4
N1,34.71945953,4
N1,32.28163147,4
N1,21.50367355,4000
N1,21.47190285,4000
N1,21.48590851,4000
N1,25.08241844,400
N1,24.99435616,400
N1,24.99687386,400
N1,27.11089516,40
N1,26.98997688,40
N1,26.96154404,40
N1,31.45485878,4
N1,29.52235794,4
N1,31.87615395,4
N1,22.28385162,4000
N1,22.23881531,4000
N1,22.2079525,4000
N1,24.98321152,400
N1,24.79459,400
N1,24.53038216,400
N1,27.51785469,40
N1,27.08490562,40
N1,26.96030807,40
N1,30.17315483,4
N1,29.67389107,4
N1,29.52796745,4
N1,22.48060799,4000
N1,22.50703812,4000
N1,22.44517326,4000
N1,24.97281647,400
N1,25.06131363,400
N1,24.96184349,400
N1,28.03861618,40
N1,28.0811348,40
N1,28.0725441,40
N1,34.01695251,4
N1,30.64116669,4
N1,30.20327187,4
N1,23.95486832,4000
N1,23.81277847,4000
N1,23.88333893,4000
N1,27.39873314,400
N1,27.38408661,400
N1,27.30977821,400
N1,29.93845749,40
N1,29.76828766,40
N1,29.50112915,40
N1,31.68528557,4
N1,32.34106064,4
N1,32.35443115,4
N1,20.60191345,4000
N1,20.57405472,4000
N1,20.62458038,4000
N1,24.24528885,400
N1,24.28897858,400
N1,24.26464462,400
N1,26.70887184,40
N1,26.7734375,40
N1,26.71445465,40
N1,30.62765121,4
N1,30.87108994,4
N1,30.33372116,4
N1,22.53548622,4000
N1,22.62005234,4000
N1,22.56440544,4000
N1,25.79973412,400
N1,25.79538727,400
N1,25.69069481,400
N1,29.46423721,40
N1,29.48692894,40
N1,29.38306236,40
N1,33.82112122,4
N1,33.09558868,4
N1,31.94803047,4
N1,23.04522324,4000
N1,23.01589012,4000
N1,22.98470306,4000
N1,27.47826576,400
N1,27.33615685,400
N1,27.22105026,400
N1,25.53400612,40
N1,25.62683487,40
N1,25.2494297,40
N1,30.60907745,4
N1,30.38994789,4
N1,29.86064339,4
N1,22.78576279,4000
N1,22.78646278,4000
N1,22.67649841,4000
N1,26.15217781,400
N1,26.1997509,400
N1,26.54893875,400
N1,28.63952255,40
N1,28.39655876,40
N1,28.5506916,40
N1,31.44135475,4
N1,31.56178665,4
N1,30.66835785,4
N1,21.19876099,4000
N1,21.21511078,4000
N1,21.19564247,4000
N1,24.88547897,400
N1,24.88274956,400
N1,24.83891487,400
N1,26.90559387,40
N1,26.87716675,40
N1,26.92459297,40
N1,28.95924377,4
N1,28.77105141,4
N1,28.77082443,4
N1,22.03002357,4000
N1,22.04016495,4000
N1,22.0320797,4000
N1,25.54644775,400
N1,25.56467819,400
N1,25.44583511,400
N1,28.24607849,40
N1,28.13329506,40
N1,28.04586029,40
N1,31.23291397,4
N1,31.1572876,4
N1,30.89546585,4
N1,20.66243362,4000
N1,20.81311226,4000
N1,20.73548317,4000
N1,23.76888847,400
N1,23.7576561,400
N1,23.70416641,400
N1,26.61192894,40
N1,26.44953156,40
N1,26.46414566,40
N1,29.57442856,4
N1,29.55667686,4
N1,29.59196663,4
N1,20.69629288,4000
N1,20.71403122,4000
N1,20.72559738,4000
N1,24.43184853,400
N1,24.39546776,400
N1,24.39800644,400
N1,25.97216606,40
N1,25.94693184,40
N1,26.01508522,40
N1,28.35795212,4
N1,28.43136406,4
N1,28.36022186,4
N1,21.09336662,4000
N1,21.10655975,4000
N1,20.98454475,4000
N1,24.01040649,400
N1,23.91679573,400
N1,24.09853363,400
N1,26.39898872,40
N1,26.43768692,40
N1,26.37835121,40
N1,29.42337227,4
N1,29.13493919,4
N1,28.95551872,4
N2,22.5967598,4000
N2,22.51508713,4000
N2,22.55184174,4000
N2,26.26245117,400
N2,26.44232559,400
N2,26.25423622,400
N2,29.11139679,40
N2,28.90130424,40
N2,28.82419395,40
N2,33.16319275,4
N2,32.23258972,4
N2,31.18385696,4
N2,21.09778214,4000
N2,21.00032043,4000
N2,21.16909409,4000
N2,24.56872368,400
N2,24.71858406,400
N2,24.53976059,400
N2,27.73640251,40
N2,27.64862823,40
N2,27.75596619,40
N2,20.71120262,4000
N2,20.58838081,4000
N2,20.58208847,4000
N2,24.64663124,400
N2,24.50213051,400
N2,24.53764534,400
N2,27.13300705,40
N2,26.90254784,40
N2,26.92350769,40
N2,29.7185154,4
N2,29.3502636,4
N2,29.21298027,4
N2,24.41595459,4000
N2,23.31852913,4000
N2,20.59871674,4000
N2,25.6400032,400
N2,25.43497276,400
N2,25.61417198,400
N2,28.71650124,40
N2,28.62177086,40
N2,28.77093506,40
N2,31.7183876,4
N2,31.59113884,4
N2,31.80598068,4
N2,22.88592529,4000
N2,22.60756874,4000
N2,22.75208282,4000
N2,26.96196365,400
N2,26.86883354,400
N2,27.02866173,400
N2,27.95782471,40
N2,28.2556057,40
N2,28.47049332,40
N2,31.869133,4
N2,31.27289391,4
N2,31.95708275,4
N2,26.11258888,4000
N2,25.87444305,4000
N2,26.12845421,4000
N2,28.41205597,400
N2,28.7736454,400
N2,28.95523834,400
N2,30.52627754,40
N2,29.92072868,40
N2,30.67080307,40
N2,34.16982651,4
N2,34.67300415,4
N2,33.91630554,4
N2,22.83695793,4000
N2,22.55588531,4000
N2,22.8662014,4000
N2,26.08926392,400
N2,25.88049316,400
N2,26.41822624,400
N2,28.16841125,40
N2,28.83804131,40
N2,29.13042831,40
N2,30.87472916,4
N2,31.13720512,4
N2,30.74144173,4
N2,21.36303139,4000
N2,20.94091225,4000
N2,20.94173622,4000
N2,24.71797371,400
N2,24.59856415,400
N2,24.8948555,400
N2,27.24981308,40
N2,27.18113518,40
N2,27.17524147,40
N2,30.47422409,4
N2,30.55265808,4
N2,31.13009071,4
N2,21.02223015,4000
N2,21.12361717,4000
N2,21.61143875,4000
N2,26.95106316,400
N2,26.79942131,400
N2,26.93343925,400
N2,30.00498581,40
N2,30.64889908,40
N2,29.97708702,40
N2,33.54248428,4
N2,35.88536072,4
N2,21.60868263,4000
N2,21.60868263,4000
N2,21.60868263,4000
N2,24.83615685,400
N2,24.83615685,400
N2,24.83615685,400
N2,27.80596733,40
N2,27.80596733,40
N2,27.80596733,40
N2,31.27020264,4
N2,31.27020264,4
N2,31.27020264,4
N2,22.317379,4000
N2,22.11098862,4000
N2,22.02502823,4000
N2,26.42978287,400
N2,25.56036758,400
N2,25.40506554,400
N2,27.7672596,40
N2,27.50042534,40
N2,27.40194321,40
N2,31.21513557,4
N2,30.17999649,4
N2,32.30856323,4
N2,22.15341949,4000
N2,22.14014244,4000
N2,22.13188553,4000
N2,24.58117485,400
N2,24.57752991,400
N2,24.52463913,400
N2,26.94000626,40
N2,26.85373497,40
N2,26.80571175,40
N2,29.93981361,4
N2,29.04700851,4
N2,28.80027008,4
N2,20.97633362,4000
N2,20.95238304,4000
N2,20.96714211,4000
N2,25.49245453,400
N2,25.43315887,400
N2,25.47251129,400
N2,27.11332893,40
N2,26.88211823,40
N2,26.96001053,40
N2,31.11505127,4
N2,29.62383461,4
N2,29.53278351,4
N2,22.8857975,4000
N2,22.75893211,4000
N2,22.89428329,4000
N2,26.73265266,400
N2,26.77072525,400
N2,26.96809769,400
N2,29.0104866,40
N2,28.86513329,40
N2,28.9540844,40
N2,31.76374435,4
N2,32.79150391,4
N2,31.18366432,4
N2,20.46656609,4000
N2,20.3965683,4000
N2,20.38187599,4000
N2,24.15031242,400
N2,23.96519279,400
N2,24.16276741,400
N2,26.84612656,40
N2,26.7779541,40
N2,26.7592659,40
N2,30.97554398,4
N2,30.36530876,4
N2,30.28668404,4
N2,21.91956329,4000
N2,21.91331863,4000
N2,21.93860245,4000
N2,24.97397995,400
N2,25.44730759,400
N2,25.39310074,400
N2,27.29580879,40
N2,27.12713432,40
N2,27.38805199,40
N2,29.50699806,4
N2,29.42577553,4
N2,29.99394608,4
N2,22.44945145,4000
N2,22.37545967,4000
N2,22.43440247,4000
N2,26.2945385,400
N2,26.31054878,400
N2,26.30806351,400
N2,28.31303406,40
N2,27.73558617,40
N2,27.7563324,40
N2,31.37632751,4
N2,30.97123337,4
N2,30.6850872,4
N2,22.87471771,4000
N2,22.82250977,4000
N2,22.92343712,4000
N2,26.99869347,400
N2,26.86343193,400
N2,26.89359856,400
N2,28.9250927,40
N2,29.05537605,40
N2,29.24495888,40
N2,32.11314774,4
N2,31.69690323,4
N2,31.42060661,4
N2,22.87471771,4000
N2,22.82250977,4000
N2,22.92343712,4000
N2,26.99869347,400
N2,26.86343193,400
N2,26.89359856,400
N2,28.9250927,40
N2,29.05537605,40
N2,29.24495888,40
N2,32.11314774,4
N2,31.69690323,4
N2,31.42060661,4
N2,25.14290428,4000
N2,25.15670586,4000
N2,25.14249039,4000
N2,28.71914291,400
N2,28.7283268,400
N2,28.68551254,400
N2,32.01721954,40
N2,32.30242157,40
N2,32.18634033,40
N2,35.51039124,4
N2,35.52253342,4
N2,35.96061325,4
N2,21.58122826,4000
N2,21.49423981,4000
N2,21.37595749,4000
N2,25.69013214,400
N2,25.77857208,400
N2,25.64951324,400
N2,24.09982109,40
N2,24.13872337,40
N2,24.1144352,40
N2,29.33391571,4
N2,29.21828651,4
N2,29.16752625,4
N2,20.8050499,4000
N2,20.58784866,4000
N2,20.60695648,4000
N2,25.57320595,40
N2,25.6259613,40
N2,25.43142891,40
N2,31.24412346,4
N2,31.00494576,4
N2,29.93396378,4
N2,28.24076653,4
N2,28.44919586,4
N2,28.64489174,4
N2,21.8604908,4000
N2,22.12353897,4000
N2,21.94148445,4000
N2,26.38086891,400
N2,26.32489204,400
N2,26.17250633,400
N2,28.63468552,40
N2,28.59228134,40
N2,29.11133385,40
N2,20.3993721,4000
N2,20.3876152,4000
N2,20.43256378,4000
N2,24.32873726,400
N2,24.32316017,400
N2,24.33094406,400
N2,26.53418922,40
N2,26.43047523,40
N2,26.46159172,40
N2,28.47537041,4
N2,28.10029411,4
N2,28.35819244,4
N2,20.87915611,4000
N2,20.9336071,4000
N2,20.98615074,4000
N2,24.5358963,400
N2,24.52356148,400
N2,24.50839233,400
N2,27.1967659,40
N2,27.16250801,40
N2,27.34458351,40
N2,29.81736946,4
N2,30.13878632,4
N2,30.12568283,4
N2,20.7370224,4000
N2,20.59671783,4000
N2,20.50485229,4000
N2,23.68546295,400
N2,23.60788727,400
N2,23.55811691,400
N2,26.24905777,40
N2,26.163414,40
N2,26.52999115,40
N2,29.55125999,4
N2,28.97956467,4
N2,29.30137634,4
N2,20.08707809,4000
N2,19.98120689,4000
N2,20.10599327,4000
N2,23.92651176,400
N2,23.9364872,400
N2,24.08999062,400
N2,25.51605988,40
N2,25.52374458,40
N2,25.52092552,40
N2,27.70213318,4
N2,27.86721039,4
N2,27.92307091,4
N2,20.29769516,4000
N2,20.28416634,4000
N2,20.42028046,4000
N2,23.73046875,400
N2,23.67464256,400
N2,23.2149086,400
N2,26.40492249,40
N2,26.32963181,40
N2,26.20666504,40
N2,28.92258453,4
N2,28.96664619,4
N2,29.0813427,4
