sample_name,sample_type,ct
MI_10A_RNA,sample,15.71040344
MI_10A_RNA,sample,15.59934616
MI_10A_RNA,sample,15.53823185
MI_11_RNA,sample,17.34796906
MI_11_RNA,sample,17.48716354
MI_11_RNA,sample,17.50790405
MI_13A_RNA,sample,17.76195145
MI_13A_RNA,sample,17.66898727
MI_13A_RNA,sample,17.94397163
MI_14A_RNA,sample,17.85404968
MI_14A_RNA,sample,17.76989555
MI_14A_RNA,sample,17.8434906
MI_15A_RNA,sample,16.80418587
MI_15A_RNA,sample,16.88707352
MI_15A_RNA,sample,16.84793854
MI_5A_RNA,sample,17.74263
MI_5A_RNA,sample,17.97329712
MI_5A_RNA,sample,17.70418549
MI_6A_RNA,sample,17.89074135
MI_6A_RNA,sample,17.98895264
MI_6A_RNA,sample,17.6842804
MI_7A_RNA,sample,18.00784683
MI_7A_RNA,sample,18.22913742
MI_7A_RNA,sample,17.94086075
MI_8A_RNA,sample,17.71239662
MI_8A_RNA,sample,17.81298447
MI_8A_RNA,sample,17.69529915
MI_9A_RNA,sample,17.36588669
MI_9A_RNA,sample,17.499506
MI_9A_RNA,sample,17.50335884
NO_10A_RNA,sample,15.12359333
NO_10A_RNA,sample,15.2684021
NO_10A_RNA,sample,15.32299995
NO_11A_RNA,sample,19.12493706
NO_11A_RNA,sample,18.19684982
NO_11A_RNA,sample,18.22581673
NO_12A_RNA,sample,18.65701103
NO_12A_RNA,sample,18.27960396
NO_12A_RNA,sample,18.23390388
NO_13A_RNA,sample,18.73234367
NO_13A_RNA,sample,18.35684395
NO_13A_RNA,sample,18.44526863
NO_14A_RNA,sample,17.5267601
NO_14A_RNA,sample,17.5110817
NO_14A_RNA,sample,17.56515503
NO_15A_RNA,sample,17.33098793
NO_15A_RNA,sample,17.41316414
NO_15A_RNA,sample,17.53610802
NO_5A_RNA,sample,17.93624115
NO_5A_RNA,sample,17.98882103
NO_5A_RNA,sample,17.90794754
NO_5A_RNA,sample,17.61730003
NO_5A_RNA,sample,17.84126663
NO_5A_RNA,sample,17.71412849
NO_6A_RNA,sample,15.62943268
NO_6A_RNA,sample,15.43562031
NO_6A_RNA,sample,15.42532349
NO_6A_RNA,sample,17.50809097
NO_6A_RNA,sample,17.60732269
NO_6A_RNA,sample,17.58215714
RNA_14_H20,control,17.72150803
RNA_14_H20,control,17.74827003
RNA_14_H20,control,17.82961845
NO_24A_RNA,sample,15.9907608
NO_24A_RNA,sample,16.04588318
NO_24A_RNA,sample,15.82770729
MI_24A_RNA,sample,16.04111099
MI_24A_RNA,sample,16.16884422
MI_24A_RNA,sample,15.85240555
CC_24A_RNA,sample,16.07265854
CC_24A_RNA,sample,16.08765411
CC_24A_RNA,sample,15.89044666
H20_24_RNA,control,15.21459484
H20_24_RNA,control,15.31756592
H20_24_RNA,control,15.16242981
H20_24_RNA,control,15.32097054
H20_24_RNA,control,15.25038338
H20_24_RNA,control,15.16377258
H20_24_RNA,control,15.40512276
H20_24_RNA,control,15.18865108
H20_24_RNA,control,15.34207916
NO_22A_RNA,sample,19.13237572
NO_22A_RNA,sample,19.33065224
NO_22A_RNA,sample,16.6941185
MI_22A_RNA,sample,18.44926834
MI_22A_RNA,sample,16.89218521
MI_22A_RNA,sample,16.74130821
CC_22A_RNA,sample,17.67808533
CC_22A_RNA,sample,17.03085518
CC_22A_RNA,sample,16.79285812
H20_22_RNA,control,18.00486183
H20_22_RNA,control,17.36779404
H20_22_RNA,control,16.78501511
MI_21A_RNA,sample,18.77261543
MI_21A_RNA,sample,18.9334259
MI_21A_RNA,sample,18.75241661
NO_21A_RNA,sample,19.59940338
NO_21A_RNA,sample,18.84065437
NO_21A_RNA,sample,18.5139637
CC_21A_RNA,sample,18.68956757
CC_21A_RNA,sample,18.65177345
CC_21A_RNA,sample,18.30583382
H20_21_RNA,control,17.28909492
H20_21_RNA,control,17.31886101
H20_21_RNA,control,17.36382675
MI_20A_RNA,sample,19.71052933
MI_20A_RNA,sample,18.34346199
MI_20A_RNA,sample,18.43072128
NO_20A_RNA,sample,18.97955132
NO_20A_RNA,sample,18.89849663
NO_20A_RNA,sample,18.79845047
CC_20A_RNA,sample,18.97109413
CC_20A_RNA,sample,18.85464096
CC_20A_RNA,sample,18.84630394
H20_20_RNA,control,17.78121185
H20_20_RNA,control,17.51634026
H20_20_RNA,control,17.72773361
MI_19A_RNA,sample,23.15323639
MI_19A_RNA,sample,22.80623817
MI_19A_RNA,sample,22.64923096
NO_19A_RNA,sample,19.34932899
NO_19A_RNA,sample,18.96676445
NO_19A_RNA,sample,18.8350296
H20_19_RNA,control,19.28124619
H20_19_RNA,control,18.97750854
H20_19_RNA,control,18.70257759
MI_18A_RNA,sample,21.04384041
MI_18A_RNA,sample,19.37729836
MI_18A_RNA,sample,19.34202194
NO_18A_RNA,sample,19.50012779
NO_18A_RNA,sample,18.68895721
NO_18A_RNA,sample,18.595644
H20_18_RNA,control,18.90752029
H20_18_RNA,control,16.93559647
H20_18_RNA,control,16.86707878
MI_17A_RNA,sample,18.65904999
MI_17A_RNA,sample,18.21657753
MI_17A_RNA,sample,18.29630661
NO_17A_RNA,sample,19.65126038
NO_17A_RNA,sample,18.96815491
NO_17A_RNA,sample,18.93066978
H20_17_RNA,control,18.97955513
H20_17_RNA,control,18.84628296
H20_17_RNA,control,18.7903595
MI_16A_RNA,sample,18.98080444
MI_16A_RNA,sample,18.97142029
MI_16A_RNA,sample,18.93080521
NO_16A_RNA,sample,19.27309036
NO_16A_RNA,sample,19.27807999
NO_16A_RNA,sample,19.17424202
H20_16_RNA,control,19.97159958
H20_16_RNA,control,19.94987869
H20_16_RNA,control,19.97434807
